ID,Name,Type,Gender,Birthdate
1,Matt,Hanuman langur,Male,1/2/2018
2,Ramon,Puma,Male,2/29/2016
3,Danny,Elephant,Male,2/26/2015
4,Alan,Sea Lion,Male,9/24/2016
5,Beatrice,JellyFish,Female,3/31/2022
6,Chester,Common genet,Male,6/18/2017
7,Olivia,Indian tree pie,Female,12/6/2020
8,Mandy,Fork-tailed drongo,Female,9/4/2016
9,Luke,Brown pelican,Male,10/27/2021
10,Barry,Cheetah,Male,8/21/2020
11,Adalie,Leopard,Female,4/5/2014
12,Blake,eagle,Female,7/2/2018
13,Bob,Jungle kangaroo,Male,9/13/2021
14,Stella,Bobcat,Female,8/7/2020
15,Caleb,Eastern fox squirrel,Male,10/17/2015
16,Angelica,Fairy penguin,Female,3/23/2022
17,Teagan,Eurasian beaver,Female,3/29/2020
18,Joseph,Collared peccary,Male,7/1/2016
19,Adina,Cheetah,Female,10/27/2021
20,Alexa,Brown capuchin,Female,11/12/2020
21,Leah,Monkey,Female,1/12/2019
22,Chris,Common turkey,Male,1/4/2020
23,Bridget,Brazilian tapir,Female,5/27/2019
24,Sofie,Dabchick,Female,1/20/2021
25,Jack,Gorilla,Male,8/16/2016
26,Margot,Frilled dragon,Female,7/12/2018
27,Caitlyn,Owl,Female,2/9/2021
28,Julia,Cattle egret,Female,1/2/2022
29,Taylor,Common shelduck,Female,8/14/2021
30,Molly,Four-horned antelope,Female,7/13/2019
31,Rosa,Lion,Female,6/15/2015
32,Danny,Fork-tailed drongo,Male,10/23/2015
33,Beatrice,Great white pelican,Female,10/25/2015
34,Dorothy,Groundhog,Female,4/7/2020
35,Erick,Hamster,Male,10/9/2021
36,Carter,Raccoon,Male,2/22/2016
37,Victoria,Galah,Female,12/19/2016
38,Eden,Great horned owl,Female,6/11/2018
39,Adalie,Cheetah,Female,3/1/2019
40,Dasha,Hamster,Female,10/27/2015
41,Gabriel,Goliath heron,Male,8/14/2019
42,Melanie,Fork-tailed drongo,Female,4/5/2019
43,Rosa,Eagle owl,Female,2/13/2018
44,Javier,Duck,Male,8/9/2015
45,Destiny,Cereopsis goose,Female,9/22/2015
46,Anthony,Blue wildebeest,Male,8/26/2021
47,Cameron,Common seal,Female,11/11/2018
48,Hank,Flightless cormorant,Male,4/21/2016
49,Bree,Canada goose,Female,12/23/2020
50,Mason,Groundhog,Male,11/1/2020
51,Dalia,Hawk-headed parrot,Female,5/7/2016
52,Clint,Emu,Male,1/8/2017
53,Clint,wasp,Male,9/6/2017
54,Aiden,Mouse,Male,6/1/2018
55,Tom,Horned rattlesnake,Male,11/16/2019
56,Gil,Scorpion,Male,1/29/2016
57,Elly,Japanese macaque,Female,8/12/2016
58,Helen,Seal,Female,3/20/2017
59,Sadie,Blue fox,Female,6/20/2018
60,Maya,Fly,Female,2/15/2022
61,Barry,Armadillo,Male,6/3/2016
62,Rhea,Hoary marmot,Female,2/3/2020
63,Rocco,Cattle egret,Male,4/6/2021
64,Melody,Glossy ibis,Female,4/2/2016
65,Daniel,Galapagos tortoise,Male,5/7/2017
66,David,Killer whale,Male,5/22/2017
67,Bob,Feathertail glider,Male,12/12/2021
68,Camden,Indian leopard,Female,8/11/2016
69,Joseph,Puma,Male,7/14/2015
70,Benny,Wallaby,Male,6/27/2019
71,Greta,Leopard,Female,12/24/2015
72,Elisabeth,Downy woodpecker,Female,1/27/2022
73,Clint,Hamster,Male,1/5/2017
74,Sloane,Owl,Female,7/3/2017
75,Chad,Cape wild cat,Male,9/20/2019
76,Peter,Giant otter,Male,8/2/2017
77,Matt,King vulture,Male,8/24/2014
78,Russel,Cape fox,Male,8/5/2021
79,Mason,Lion,Male,2/6/2021
80,Helen,Cormorant,Female,1/17/2021
81,Rebecca,Brown lemur,Female,1/22/2022
82,Percy,Galapagos tortoise,Male,8/25/2020
83,Nicholas,Huron,Male,10/7/2021
84,Raquel,Fat-tailed dunnart,Female,7/18/2015
85,Carmen,Avocet,Female,10/13/2020
86,Johnathan,Buttermilk snake,Male,7/8/2021
87,Alexa,Cape wild cat,Female,8/22/2021
88,Carmen,Brown hyena,Female,5/10/2017
89,Matt,Eurasian hoopoe,Male,7/2/2014
90,John,Fairy penguin,Male,3/2/2021
91,Dakota,Giant armadillo,Female,11/28/2020
92,Goldie,Giant girdled lizard,Female,7/2/2014
93,Elijah,Blue shark,Male,10/29/2021
94,Mayleen,Blue peacock,Female,11/20/2020
95,Carter,Cheetah,Male,5/26/2016
96,George,Yak,Male,3/11/2018
97,Denny,wasp,Male,3/23/2019
98,Emma,Eastern fox squirrel,Female,8/5/2020
99,Emma,Avocet,Female,12/5/2015
100,Peter,Horned lark,Male,4/22/2016

